0,-1,1997年のガンバ大阪,WellDone,ここでは1997年におけるガンバ大阪の試合結果などについて記載する。,


1,0,菊池利三,1997年のガンバ大阪,菊池 利三（きくち としみ、1973年6月17日 - ）は、岩手県遠野市出身の、元サッカー選手。サッカー指導者。現役時代のポジションはディフェンダー（サイドバック、センターバック）、ミッドフィールダー（守備的MF、左サイドハーフ）。 / サッカー指導者の菊池新吉は実兄。,


2,0,松代直樹,1997年のガンバ大阪,松代 直樹（まつよ なおき、1974年4月9日 - ）は、奈良県奈良市出身の元プロサッカー選手、サッカー指導者。現役時代のポジションはゴールキーパー（GK）。,


3,1,東大阪市花園ラグビー場,菊池利三,東大阪市花園ラグビー場（ひがしおおさかしはなぞのラグビーじょう）は、大阪府東大阪市の花園中央公園内にあるラグビー専用スタジアム。 / 1929年11月22日、現在の近畿日本鉄道（近鉄）の前身である大阪電気軌道（大軌）によって、大阪府中河内郡英田村（当時）の現在地に日本初となるラグビー専用競技場「花園ラグビー運動場」として開場した。長年にわたり近鉄が所有し、1982年以降「近鉄花園ラグビー場」と称していたが、2015年からは東大阪市が所有し、2020年10月1日からは公募設置管理制度（Park-PFI）に基づいてFC大阪・HOS・天正グループで構成する「東大阪花園活性化マネジメント共同体」が当スタジアムを含む花園中央公園全体の管理運営を行っている。 / 1963年以降、全国高等学校ラグビーフットボール大会の会場として定着しており、同大会は「花園」と通称されている。また、ジャパンラグビーリーグワン（リーグワン）加盟の花園近鉄ライナーズが大軌ラグビー部時代の1929年から、日本プロサッカーリーグ（Jリーグ）加盟のFC大阪が2020年（実質的には2023年）からそれぞれホームグラウンドとしている。 / 2019年にはラグビーワールドカップ2019の会場のひとつとなり、プールステージの4試合で使用された。,


4,1,近藤祐輔,菊池利三,近藤 祐輔（こんどう ゆうすけ、1986年8月19日 - ）は、北海道出身の元サッカー選手。株式会社FC大阪代表取締役社長。選手時代のポジションはゴールキーパー。,


5,2,奈良県立上牧高等学校,松代直樹,奈良県立上牧高等学校（ならけんりつ しきがおか こうとうがっこう、英: Nara Prefectural Kanmaki High School）は、奈良県北葛城郡上牧町下牧に所在した県立高等学校。略称および通称は上高 。,


6,2,木場昌雄,松代直樹,木場 昌雄（きば まさお、1974年9月6日 - ）は、兵庫県南あわじ市出身の元プロサッカー選手、サッカー指導者。現役時代のポジションはディフェンダー、ミッドフィールダー。,


7,3,上本町YUFURA,東大阪市花園ラグビー場,上本町YUFURA（うえほんまちユフラ）は、大阪府大阪市天王寺区上本町六丁目（上六）にある複合商業施設である。「ゆらりふらりと何度でも立ち寄りたくなる気持ちよい場所、心地よい空間」をイメージしてYUFURAと名づけられた。,


8,3,大和文華館,東大阪市花園ラグビー場,大和文華館（やまとぶんかかん）は、奈良県奈良市にある、東洋古美術を中心とする私立美術館である。 / 1962年に第3回BCS賞を受賞。2005年にはDOCOMOMO JAPAN選定 日本におけるモダン・ムーブメントの建築に選ばれた。,


9,4,サッカー,近藤祐輔,サッカー（英: soccer）は、サッカーボールを用いて1チームが11人の計2チームの間で行われるスポーツ競技。足でボールを蹴る球技の総称であるフットボール（英: football)の一つであり、アソシエーション・フットボール（英: association football、協会式フットボールの意）またはアソシエーション式フットボール (略称：ア式蹴球) とも呼ばれる。他のフットボールコードと比較して、手の使用が極端に制限されるという特徴がある。 / サッカーは、210を越える国と地域で、多くの選手達によってプレーされている。4年に1回開催されるFIFAワールドカップのテレビ視聴者数は全世界で通算310億人を超えており、世界で最も人気のあるスポーツ である。,


10,4,菊池利三,近藤祐輔,菊池 利三（きくち としみ、1973年6月17日 - ）は、岩手県遠野市出身の、元サッカー選手。サッカー指導者。現役時代のポジションはディフェンダー（サイドバック、センターバック）、ミッドフィールダー（守備的MF、左サイドハーフ）。 / サッカー指導者の菊池新吉は実兄。,


11,5,解放,奈良県立上牧高等学校,解放（かいほう） /  / 解き放つこと。束縛を解いて自由にすること。特に差別や抑圧から解き放つことをいう。 / 主な用例としては奴隷解放宣言、民族解放戦線、部落解放同盟、女性解放運動など。 / 革命勢力の手によって共産主義化・社会主義化すること。 / 主な用例としては中国人民解放軍、南ベトナム解放民族戦線など。 / 祝祭日 / 解放の日 - 世界各国で制定されている記念日や祝日の一つ。,


12,5,クラブハウス,奈良県立上牧高等学校,クラブハウス（Clubhouse）,


13,6,宇佐美貴史,木場昌雄,宇佐美 貴史（うさみ たかし、1992年5月6日 - ）は、京都府長岡京市出身のプロサッカー選手。Jリーグ・ガンバ大阪所属。ポジションはフォワード（セカンドトップ）、ミッドフィールダー（オフェンシブハーフ、サイドハーフ）。元日本代表。 / 妻はタレントの宇佐美蘭。ガンバ大阪におけるJリーグ通算最多得点者。,


14,6,ミッドフィールダー,木場昌雄,ミッドフィールダー（英: Midfielder）とは、サッカーにおけるポジションの一種。略記はMF。,


15,7,三笠屋百貨店,上本町YUFURA,三笠屋百貨店（みかさやひゃっかてん）は、大阪府大阪市天王寺区上本町6丁目にあった日本の百貨店である。 / 阪急百貨店より早く開業した世界で最初のターミナルデパートであった。,


16,7,奈良生駒高速鉄道,上本町YUFURA,奈良生駒高速鉄道株式会社（ならいこまこうそくてつどう、英: Nara Ikoma Rapid Railway Co., Ltd. ）は、近鉄けいはんな線の生駒駅から学研奈良登美ヶ丘駅までの延伸区間を保有する、近畿日本鉄道・奈良県などが出資する第三セクターの鉄道会社である。本社は奈良県生駒市北新町10番40号にある。出資比率は民間（近畿日本鉄道・日本政策投資銀行等）50%、沿線自治体（奈良県・生駒市・奈良市）50%である。 / 同区間の建設は奈良生駒高速鉄道が行い、2006年3月27日の開業後は、奈良生駒高速鉄道が第三種鉄道事業者として施設を保有し、近畿日本鉄道が第二種鉄道事業者として、すでに近鉄東大阪線として営業していた長田 - 生駒間を含めて「けいはんな線」という名称で路線を運営している。,


17,8,東京近鉄観光バス,大和文華館,東京近鉄観光バス株式会社（とうきょうきんてつかんこうバス）は、かつて存在した近畿日本鉄道子会社で近鉄グループの貸切観光バス会社である。本社は東京都文京区水道橋で、営業所を北区滝野川、足立区宮城、さいたま市に置いて東京都と埼玉県内を営業エリアとしていた。,


18,8,大慧宗杲,大和文華館,大慧宗杲（だいえ そうこう、だいえ しゅうこう）は、中国の宋代の臨済宗楊岐派第5代の僧。諡号は普覚禅師（ふかくぜんじ）、賜号は仏日大師、大慧禅師、字は曇晦、号は妙喜（みょうき）・雲門。俗姓は奚（けい）。公案を用いて悟りに至る「看話禅」(公案禅)の大成者として知られる。,


19,9,ウェールズ,サッカー,ウェールズ / Cymru（ウェールズ語）Wales（英語） /  / 国の標語：“Cymru am Byth”（ウェールズ語）「ウェールズよ、永遠なれ」 / 国歌：我が父祖の土地Hen Wlad Fy Nhadau（ウェールズ語） /  / 1 イギリス構成国中第3位2 イギリス構成国中第3位 /  / ウェールズ（英語: 、ウェールズ語: Cymru [ˈkəm.rɨ] ( 音声ファイル) カムリ）は、グレートブリテンおよび北アイルランド連合王国（イギリス）を構成する4つの「構成国（country）」のひとつである。ウェールズはグレートブリテン島の南西に位置し、南にブリストル海峡、東にイングランド、西と北にはアイリッシュ海が存在する。 / かつて、石炭を代表とする豊富な地下資源を産出し、イギリスの産業革命を支えた歴史をもつ。,


20,9,ベルギー,サッカー,ベルギー王国 / Koninkrijk België（オランダ語）Royaume de Belgique（フランス語）Königreich Belgien（ドイツ語） /  / 国の標語：L'union fait la force（フランス語）Eendracht maakt macht（オランダ語）Einigkeit macht stark（ドイツ語）（日本語訳: 団結は力なり） / 国歌：La Brabançonne（フランス語）De Brabançonne（オランダ語）Das Lied von Brabant（ドイツ語）ブラバントの歌 /  / ベルギー王国（ベルギーおうこく、蘭: Koninkrijk België、仏: Royaume de Belgique、独: Königreich Belgien）、通称 ベルギーは、西ヨーロッパに位置する連邦立憲君主制国家。隣国のオランダ、ルクセンブルクと合わせてベネルクスと呼ばれる。 / 首都ブリュッセル首都圏地域は欧州連合（EU）の主要機関の多くが置かれているため「EUの首都」とも言われており、その通信・金融網はヨーロッパを越えて地球規模である。憲法上の首都は、19の基礎自治体からなるブリュッセル首都圏の自治体のひとつ、ブリュッセル市である。,


21,10,鳴尾直軌,菊池利三,鳴尾 直軌（なるお なおき、1974年10月5日 - ）は、岩手県下閉伊郡岩泉町出身の元サッカー選手、サッカー指導者。,


22,10,大宮アルディージャ,菊池利三,大宮アルディージャ（おおみやアルディージャ、英: Omiya Ardija）は、日本の埼玉県さいたま市をホームタウンとする、日本プロサッカーリーグ（Jリーグ）に加盟するプロサッカークラブ。,


23,11,市轄区,解放,市轄区（しかつく、拼音: Shìxiáqūシーシアチュイ、簡体字：市辖区、繁体字：市轄區）とは、中華人民共和国と中華民国における都市の行政区画の一種。,


24,11,貨物自動車,解放,貨物自動車（かもつじどうしゃ、フランス語: camion、カミオン）は、主に貨物を運搬する自動車である。 / 比較的小型で、運転席と荷室が一体となった車体を持つ車種については「バン (自動車)」および「ライトバン」を参照。,


25,12,デクスター・ゴードン,クラブハウス,デクスター・ゴードン（Dexter Gordon、1923年2月27日 - 1990年4月25日）は、アメリカ合衆国のジャズ・テナー・サクソフォーン奏者。,


26,12,社会的ネットワーク,クラブハウス,社会的ネットワーク（しゃかいてきネットワーク、social network、社会ネットワーク）とは、価値、構想、提案、金銭的やりとり、友人、親類、嫌悪、取引、ウェブリンク、性的関係、疾病の伝染（疫学）、航空路といった1つ以上の関係により結びつけられた（個人や組織を指す）ノードからなる、社会的な構造である。 / 社会的ネットワークはしばしば社会ネットワークと言われるが、総務省の情報通信白書では「社会的ネットワーク」という表現が使用されている。また、平成19年版国民生活白書ではつながりが築く豊かな国民生活と題して、日本における社会的ネットワークの現状を報告している。しかし、アカデミックの世界では「社会ネットワーク」という表現が使用されることが多い。 / 社会的ネットワーク分析は、近年の社会学や人類学、組織論といった学問分野において、統計学やグラフ理論から生まれたポピュラーな推論・研究であると同時に、有用な方法として台頭した。この分析によって、それが家族から国家まで様々なレベルの問題に適用でき、問題解決への道を示す重要な役割を果たし、組織が運営され、どの程度個人の追求する目的が果たされるのか、多くの研究者によって論証されたのである。 / この社会的ネットワークから派生した分析概念として、都市社会学には、個人を中心として他者とのネットワークを考える「パーソナルネットワーク」という理論も存在する。また、最近の社会学や政治学においてはソーシャル・キャピタル（社会関係資本）と関連する概念として捉えられることが多い。 / 漢字を伴った"社会的ネットワーク"という用語は、英語の "social network" に対する、社会科学の専門用語である。いっぽう、"ソーシャルネットワーキング"と全て片仮名で書く場合は、Facebook、Twitter、Instagram、LINEなどのSNSコミュニケーションサービスに関連していうことが多い。,


27,13,石毛秀樹,宇佐美貴史,石毛 秀樹（いしげ ひでき、1994年9月21日 - ）は、静岡県富士市出身のプロサッカー選手。Aリーグ・ウェリントン・フェニックスFC所属。ポジションはミッドフィールダー。,


28,13,プロサッカー選手,宇佐美貴史,プロサッカー選手（プロサッカーせんしゅ）とは、サッカー競技におけるプロフェッショナル選手、すなわち、サッカー競技をすることに対して報酬を得る者のことである。,


29,14,ポルトガル,ミッドフィールダー,ポルトガル共和国 / República Portuguesa /  / 国の標語：なし / 国歌：A Portuguesa（ポルトガル語）ポルトガルの歌 /  / ポルトガル共和国（ポルトガルきょうわこく、ポルトガル語: República Portuguesa）、通称ポルトガルは、南ヨーロッパのイベリア半島に位置する共和制国家。首都はリスボン。ユーラシア大陸最西端の国である。北と東にスペインと国境を接し、国境線の総延長は1,214kmに及ぶ。西と南は大西洋に面している。ヨーロッパ大陸部以外にも、大西洋上にアゾレス諸島とマデイラ諸島を領有している。 /  / ,


30,14,小笠原満男,ミッドフィールダー,小笠原 満男（おがさわら みつお、1979年4月5日 - ）は、岩手県盛岡市出身の元プロサッカー選手。元日本代表。ポジションはMF。2009年シーズンJリーグ最優秀選手賞受賞。,


